Symbol,Name,Label
CALD,,CALD
CALL,magicJack VocalTec Ltd,magicJack VocalTec Ltd (CALL)
CALM,"Cal-Maine Foods, Inc.","Cal-Maine Foods, Inc. (CALM)"
CALX,"Calix, Inc","Calix, Inc (CALX)"
CAM,,CAM
CAMP,CalAmp Corp.,CalAmp Corp. (CAMP)
CAP,,CAP
CAR,"Avis Budget Group, Inc.","Avis Budget Group, Inc. (CAR)"
CARA,"Cara Therapeutics, Inc.","Cara Therapeutics, Inc. (CARA)"
CARB,"Carbonite, Inc.","Carbonite, Inc. (CARB)"
CAS,,CAS
CASH,"Meta Financial Group, Inc.","Meta Financial Group, Inc. (CASH)"
CASS,"Cass Information Systems, Inc","Cass Information Systems, Inc (CASS)"
CASY,"Caseys General Stores, Inc.","Caseys General Stores, Inc. (CASY)"
CAT,"Caterpillar, Inc.","Caterpillar, Inc. (CAT)"
CATM,Cardtronics plc,Cardtronics plc (CATM)
CATO,Cato Corporation (The),Cato Corporation (The) (CATO)
CATY,Cathay General Bancorp,Cathay General Bancorp (CATY)
CAVM,,CAVM
CB,Chubb Limited,Chubb Limited (CB)
CBB,Cincinnati Bell Inc,Cincinnati Bell Inc (CBB)
CBEY,,CBEY
CBF,,CBF
CBG,,CBG
CBI,,CBI
CBK,Christopher & Banks Corporation,Christopher & Banks Corporation (CBK)
CBL,"CBL & Associates Properties, Inc.","CBL & Associates Properties, Inc. (CBL)"
CBM,Cambrex Corporation,Cambrex Corporation (CBM)
CBOE,"Cboe Global Markets, Inc.","Cboe Global Markets, Inc. (CBOE)"
CBPX,"Continental Building Products, Inc.","Continental Building Products, Inc. (CBPX)"
CBR,,CBR
CBRE,"CBRE Group, Inc.","CBRE Group, Inc. (CBRE)"
CBRL,"Cracker Barrel Old Country Store, Inc.","Cracker Barrel Old Country Store, Inc. (CBRL)"
CBS,CBS Corporation,CBS Corporation (CBS)
CBSH,"Commerce Bancshares, Inc.","Commerce Bancshares, Inc. (CBSH)"
CBST,,CBST
CBT,Cabot Corporation,Cabot Corporation (CBT)
CBU,"Community Bank System, Inc.","Community Bank System, Inc. (CBU)"
CBZ,"CBIZ, Inc.","CBIZ, Inc. (CBZ)"
CCBG,Capital City Bank Group,Capital City Bank Group (CCBG)
CCC,,CCC
CCE,Coca-Cola European Partners plc,Coca-Cola European Partners plc (CCE)
CCF,Chase Corporation,Chase Corporation (CCF)
CCG,,CCG
CCI,Crown Castle International Corporation,Crown Castle International Corporation (CCI)
CCK,"Crown Holdings, Inc.","Crown Holdings, Inc. (CCK)"
CCL,Carnival Corporation,Carnival Corporation (CCL)
CCMP,Cabot Microelectronics Corporation,Cabot Microelectronics Corporation (CCMP)
CCNE,CNB Financial Corporation,CNB Financial Corporation (CCNE)
CCO,"Clear Channel Outdoor Holdings, Inc.","Clear Channel Outdoor Holdings, Inc. (CCO)"
CCOI,"Cogent Communications Holdings, Inc.","Cogent Communications Holdings, Inc. (CCOI)"
CCRN,"Cross Country Healthcare, Inc.","Cross Country Healthcare, Inc. (CCRN)"
CCXI,"ChemoCentryx, Inc.","ChemoCentryx, Inc. (CCXI)"
CDE,"Coeur Mining, Inc.","Coeur Mining, Inc. (CDE)"
CDI,,CDI
CDNS,"Cadence Design Systems, Inc.","Cadence Design Systems, Inc. (CDNS)"
CDR,"Cedar Realty Trust, Inc.","Cedar Realty Trust, Inc. (CDR)"
CE,Celanese Corporation,Celanese Corporation (CE)
CEB,,CEB
CECE,CECO Environmental Corp.,CECO Environmental Corp. (CECE)
CECO,Career Education Corporation,Career Education Corporation (CECO)
CELG,Celgene Corporation,Celgene Corporation (CELG)
CEMP,,CEMP
CENTA,Central Garden & Pet Company,Central Garden & Pet Company (CENTA)
CENX,Century Aluminum Company,Century Aluminum Company (CENX)
CERN,Cerner Corporation,Cerner Corporation (CERN)
CERS,Cerus Corporation,Cerus Corporation (CERS)
CETV,Central European Media Enterprises Ltd.,Central European Media Enterprises Ltd. (CETV)
CEVA,"CEVA, Inc.","CEVA, Inc. (CEVA)"
CF,"CF Industries Holdings, Inc.","CF Industries Holdings, Inc. (CF)"
CFFI,C&F Financial Corporation,C&F Financial Corporation (CFFI)
CFFN,"Capitol Federal Financial, Inc.","Capitol Federal Financial, Inc. (CFFN)"
CFG,"Citizens Financial Group, Inc.","Citizens Financial Group, Inc. (CFG)"
CFI,,CFI
CFN,,CFN
CFNB,,CFNB
CFNL,,CFNL
CFR,"Cullen/Frost Bankers, Inc.","Cullen/Frost Bankers, Inc. (CFR)"
CFX,Colfax Corporation,Colfax Corporation (CFX)
CGI,,CGI
CGNX,Cognex Corporation,Cognex Corporation (CGNX)
CHCO,City Holding Company,City Holding Company (CHCO)
CHD,"Church & Dwight Company, Inc.","Church & Dwight Company, Inc. (CHD)"
CHDN,"Churchill Downs, Incorporated","Churchill Downs, Incorporated (CHDN)"
CHDX,,CHDX
CHE,Chemed Corp.,Chemed Corp. (CHE)
CHEF,"The Chefs&#39; Warehouse, Inc.","The Chefs&#39; Warehouse, Inc. (CHEF)"
CHFC,Chemical Financial Corporation,Chemical Financial Corporation (CHFC)
CHFN,,CHFN
CHGG,"Chegg, Inc.","Chegg, Inc. (CHGG)"
CHH,"Choice Hotels International, Inc.","Choice Hotels International, Inc. (CHH)"
CHK,Chesapeake Energy Corporation,Chesapeake Energy Corporation (CHK)
CHKP,Check Point Software Technologies Ltd.,Check Point Software Technologies Ltd. (CHKP)
CHMG,Chemung Financial Corp,Chemung Financial Corp (CHMG)
CHMT,,CHMT
CHRW,"C.H. Robinson Worldwide, Inc.","C.H. Robinson Worldwide, Inc. (CHRW)"
CHS,"Chico's FAS, Inc.","Chico's FAS, Inc. (CHS)"
CHSP,Chesapeake Lodging Trust,Chesapeake Lodging Trust (CHSP)
CHTP,,CHTP
CHTR,"Charter Communications, Inc.","Charter Communications, Inc. (CHTR)"
CHUY,"Chuy's Holdings, Inc.","Chuy's Holdings, Inc. (CHUY)"
CI,Cigna Corporation,Cigna Corporation (CI)
CIA,"Citizens, Inc.","Citizens, Inc. (CIA)"
CIDM,Cinedigm Corp,Cinedigm Corp (CIDM)
CIE,,CIE
CIEN,Ciena Corporation,Ciena Corporation (CIEN)
CIFC,,CIFC
CIM,Chimera Investment Corporation,Chimera Investment Corporation (CIM)
CINF,Cincinnati Financial Corporation,Cincinnati Financial Corporation (CINF)
CIR,"CIRCOR International, Inc.","CIRCOR International, Inc. (CIR)"
CIT,CIT Group Inc (DEL),CIT Group Inc (DEL) (CIT)
CIX,CompX International Inc.,CompX International Inc. (CIX)
CJES,,CJES
CKEC,,CKEC
CKH,"SEACOR Holdings, Inc.","SEACOR Holdings, Inc. (CKH)"
CKP,,CKP
CL,Colgate-Palmolive Company,Colgate-Palmolive Company (CL)
CLC,,CLC
CLCT,"Collectors Universe, Inc.","Collectors Universe, Inc. (CLCT)"
CLD,Cloud Peak Energy Inc,Cloud Peak Energy Inc (CLD)
CLDT,Chatham Lodging Trust (REIT),Chatham Lodging Trust (REIT) (CLDT)
CLDX,"Celldex Therapeutics, Inc.","Celldex Therapeutics, Inc. (CLDX)"
CLF,Cleveland-Cliffs Inc.,Cleveland-Cliffs Inc. (CLF)
CLFD,"Clearfield, Inc.","Clearfield, Inc. (CLFD)"
CLGX,"CoreLogic, Inc.","CoreLogic, Inc. (CLGX)"
CLH,"Clean Harbors, Inc.","Clean Harbors, Inc. (CLH)"
CLI,Mack-Cali Realty Corporation,Mack-Cali Realty Corporation (CLI)
CLMS,,CLMS
CLNE,Clean Energy Fuels Corp.,Clean Energy Fuels Corp. (CLNE)
CLNY,"Colony Capital, Inc.","Colony Capital, Inc. (CLNY)"
CLR,"Continental Resources, Inc.","Continental Resources, Inc. (CLR)"
CLUB,"Town Sports International Holdings, Inc.","Town Sports International Holdings, Inc. (CLUB)"
CLVS,"Clovis Oncology, Inc.","Clovis Oncology, Inc. (CLVS)"
CLW,Clearwater Paper Corporation,Clearwater Paper Corporation (CLW)
CLX,Clorox Company (The),Clorox Company (The) (CLX)
CMA,Comerica Incorporated,Comerica Incorporated (CMA)
CMC,Commercial Metals Company,Commercial Metals Company (CMC)
CMCO,Columbus McKinnon Corporation,Columbus McKinnon Corporation (CMCO)
CMCSA,Comcast Corporation,Comcast Corporation (CMCSA)
CMCSK,,CMCSK
CME,CME Group Inc.,CME Group Inc. (CME)
CMG,"Chipotle Mexican Grill, Inc.","Chipotle Mexican Grill, Inc. (CMG)"
CMI,Cummins Inc.,Cummins Inc. (CMI)
CMLS,Cumulus Media Inc.,Cumulus Media Inc. (CMLS)
CMN,,CMN
CMO,Capstead Mortgage Corporation,Capstead Mortgage Corporation (CMO)
CMP,"Compass Minerals International, Inc.","Compass Minerals International, Inc. (CMP)"
CMRX,"Chimerix, Inc.","Chimerix, Inc. (CMRX)"
CMS,CMS Energy Corporation,CMS Energy Corporation (CMS)
CMTL,Comtech Telecommunications Corp.,Comtech Telecommunications Corp. (CMTL)
CNA,CNA Financial Corporation,CNA Financial Corporation (CNA)
CNBC,,CNBC
CNBKA,"Century Bancorp, Inc.","Century Bancorp, Inc. (CNBKA)"
CNC,Centene Corporation,Centene Corporation (CNC)
CNDO,,CNDO
CNK,Cinemark Holdings Inc,Cinemark Holdings Inc (CNK)
CNL,,CNL
CNMD,CONMED Corporation,CONMED Corporation (CNMD)
CNO,"CNO Financial Group, Inc.","CNO Financial Group, Inc. (CNO)"
CNOB,"ConnectOne Bancorp, Inc.","ConnectOne Bancorp, Inc. (CNOB)"
CNP,"CenterPoint Energy, Inc.","CenterPoint Energy, Inc. (CNP)"
CNQR,,CNQR
CNS,Cohen & Steers Inc,Cohen & Steers Inc (CNS)
CNSI,,CNSI
CNSL,"Consolidated Communications Holdings, Inc.","Consolidated Communications Holdings, Inc. (CNSL)"
CNVR,,CNVR
CNW,,CNW
CNX,CNX Resources Corporation,CNX Resources Corporation (CNX)
COB,,COB
COBZ,,COBZ
COCO,,COCO
CODE,,CODE
COF,Capital One Financial Corporation,Capital One Financial Corporation (COF)
COG,Cabot Oil & Gas Corporation,Cabot Oil & Gas Corporation (COG)
COH,,COH
COHR,"Coherent, Inc.","Coherent, Inc. (COHR)"
COHU,"Cohu, Inc.","Cohu, Inc. (COHU)"
COKE,Coca-Cola Bottling Co. Consolidated,Coca-Cola Bottling Co. Consolidated (COKE)
COL,"Rockwell Collins, Inc.","Rockwell Collins, Inc. (COL)"
COLB,"Columbia Banking System, Inc.","Columbia Banking System, Inc. (COLB)"
COLM,Columbia Sportswear Company,Columbia Sportswear Company (COLM)
CONE,CyrusOne Inc,CyrusOne Inc (CONE)
CONN,"Conn's, Inc.","Conn's, Inc. (CONN)"
COO,"The Cooper Companies, Inc. ","The Cooper Companies, Inc.  (COO)"
COP,ConocoPhillips,ConocoPhillips (COP)
COR,CoreSite Realty Corporation,CoreSite Realty Corporation (COR)
CORE,"Core-Mark Holding Company, Inc.","Core-Mark Holding Company, Inc. (CORE)"
CORR,"CorEnergy Infrastructure Trust, Inc.","CorEnergy Infrastructure Trust, Inc. (CORR)"
CORT,Corcept Therapeutics Incorporated,Corcept Therapeutics Incorporated (CORT)
COST,Costco Wholesale Corporation,Costco Wholesale Corporation (COST)
COTY,Coty Inc.,Coty Inc. (COTY)
COUP,Coupa Software Incorporated,Coupa Software Incorporated (COUP)
COV,,COV
COVS,,COVS
COWN,Cowen Inc.,Cowen Inc. (COWN)
CPA,"Copa Holdings, S.A.","Copa Holdings, S.A. (CPA)"
CPB,Campbell Soup Company,Campbell Soup Company (CPB)
CPE,Callon Petroleum Company,Callon Petroleum Company (CPE)
CPF,CPB Inc.,CPB Inc. (CPF)
CPGX,,CPGX
CPHD,,CPHD
CPK,Chesapeake Utilities Corporation,Chesapeake Utilities Corporation (CPK)
CPLA,,CPLA
CPN,,CPN
CPRT,"Copart, Inc.","Copart, Inc. (CPRT)"
CPS,Cooper-Standard Holdings Inc.,Cooper-Standard Holdings Inc. (CPS)
CPSI,"Computer Programs and Systems, Inc.","Computer Programs and Systems, Inc. (CPSI)"
CPSS,"Consumer Portfolio Services, Inc.","Consumer Portfolio Services, Inc. (CPSS)"
CPST,Capstone Turbine Corporation,Capstone Turbine Corporation (CPST)
CPT,Camden Property Trust,Camden Property Trust (CPT)
CPWR,,CPWR
CQB,,CQB
CR,Crane Co.,Crane Co. (CR)
CRAI,"CRA International,Inc.","CRA International,Inc. (CRAI)"
CRAY,Cray Inc,Cray Inc (CRAY)
CRCM,"Care.com, Inc.","Care.com, Inc. (CRCM)"
CRD_B,,CRD_B
CREE,"Cree, Inc.","Cree, Inc. (CREE)"
CRI,"Carter's, Inc.","Carter's, Inc. (CRI)"
CRIS,"Curis, Inc.","Curis, Inc. (CRIS)"
CRK,"Comstock Resources, Inc.","Comstock Resources, Inc. (CRK)"
CRL,"Charles River Laboratories International, Inc.","Charles River Laboratories International, Inc. (CRL)"
CRM,Salesforce.com Inc,Salesforce.com Inc (CRM)
CRMT,"America's Car-Mart, Inc.","America's Car-Mart, Inc. (CRMT)"
CROX,"Crocs, Inc.","Crocs, Inc. (CROX)"
CRR,"Carbo Ceramics, Inc.","Carbo Ceramics, Inc. (CRR)"
CRRC,,CRRC
CRRS,,CRRS
CRS,Carpenter Technology Corporation,Carpenter Technology Corporation (CRS)
CRUS,"Cirrus Logic, Inc.","Cirrus Logic, Inc. (CRUS)"
CRVL,CorVel Corp.,CorVel Corp. (CRVL)
CRWN,,CRWN
CRY,"CryoLife, Inc.","CryoLife, Inc. (CRY)"
CRZO,"Carrizo Oil & Gas, Inc.","Carrizo Oil & Gas, Inc. (CRZO)"
CSBK,,CSBK
CSC,,CSC
CSCD,,CSCD
CSCO,"Cisco Systems, Inc.","Cisco Systems, Inc. (CSCO)"
CSE,,CSE
CSFL,CenterState Bank Corporation,CenterState Bank Corporation (CSFL)
CSG,,CSG
CSGP,"CoStar Group, Inc.","CoStar Group, Inc. (CSGP)"
CSGS,"CSG Systems International, Inc.","CSG Systems International, Inc. (CSGS)"
CSH,,CSH
CSII,"Cardiovascular Systems, Inc.","Cardiovascular Systems, Inc. (CSII)"
CSL,Carlisle Companies Incorporated,Carlisle Companies Incorporated (CSL)
CSLT,"Castlight Health, inc.","Castlight Health, inc. (CSLT)"
CSOD,"Cornerstone OnDemand, Inc.","Cornerstone OnDemand, Inc. (CSOD)"
CSRA,,CSRA
CSS,"CSS Industries, Inc.","CSS Industries, Inc. (CSS)"
CST,,CST
CSU,Capital Senior Living Corporation,Capital Senior Living Corporation (CSU)
CSV,"Carriage Services, Inc.","Carriage Services, Inc. (CSV)"
CSWC,Capital Southwest Corporation,Capital Southwest Corporation (CSWC)
CSX,CSX Corporation,CSX Corporation (CSX)
CTAS,Cintas Corporation,Cintas Corporation (CTAS)
CTB,Cooper Tire & Rubber Company,Cooper Tire & Rubber Company (CTB)
CTBI,"Community Trust Bancorp, Inc.","Community Trust Bancorp, Inc. (CTBI)"
CTCT,,CTCT
CTG,"Computer Task Group, Incorporated","Computer Task Group, Incorporated (CTG)"
CTIC,CTI BioPharma Corp.,CTI BioPharma Corp. (CTIC)
CTL,"CenturyLink, Inc.","CenturyLink, Inc. (CTL)"
CTO,Consolidated-Tomoka Land Co.,Consolidated-Tomoka Land Co. (CTO)
CTRE,"CareTrust REIT, Inc.","CareTrust REIT, Inc. (CTRE)"
CTRL,Control4 Corporation,Control4 Corporation (CTRL)
CTRN,"Citi Trends, Inc.","Citi Trends, Inc. (CTRN)"
CTRX,,CTRX
CTS,CTS Corporation,CTS Corporation (CTS)
CTSH,Cognizant Technology Solutions Corporation,Cognizant Technology Solutions Corporation (CTSH)
CTT,,CTT
CTWS,"Connecticut Water Service, Inc.","Connecticut Water Service, Inc. (CTWS)"
CTXS,"Citrix Systems, Inc.","Citrix Systems, Inc. (CTXS)"
CUB,Cubic Corporation,Cubic Corporation (CUB)
CUBE,CubeSmart,CubeSmart (CUBE)
CUBI,"Customers Bancorp, Inc","Customers Bancorp, Inc (CUBI)"
CUDA,,CUDA
CUI,"CUI Global, Inc.","CUI Global, Inc. (CUI)"
CUNB,,CUNB
CUR,"Neuralstem, Inc.","Neuralstem, Inc. (CUR)"
CUTR,"Cutera, Inc.","Cutera, Inc. (CUTR)"
CUZ,Cousins Properties Incorporated,Cousins Properties Incorporated (CUZ)
CVA,Covanta Holding Corporation,Covanta Holding Corporation (CVA)
CVBF,CVB Financial Corporation,CVB Financial Corporation (CVBF)
CVC,,CVC
CVCO,"Cavco Industries, Inc.","Cavco Industries, Inc. (CVCO)"
CVD,,CVD
CVEO,Civeo Corporation,Civeo Corporation (CVEO)
CVG,,CVG
CVGI,"Commercial Vehicle Group, Inc.","Commercial Vehicle Group, Inc. (CVGI)"
CVGW,"Calavo Growers, Inc.","Calavo Growers, Inc. (CVGW)"
CVI,CVR Energy Inc.,CVR Energy Inc. (CVI)
CVLT,"Commvault Systems, Inc.","Commvault Systems, Inc. (CVLT)"
CVO,,CVO
CVS,CVS Health Corporation,CVS Health Corporation (CVS)
CVT,,CVT
CVX,Chevron Corporation,Chevron Corporation (CVX)
CW,Curtiss-Wright Corporation,Curtiss-Wright Corporation (CW)
CWCO,Consolidated Water Co. Ltd.,Consolidated Water Co. Ltd. (CWCO)
CWEI,,CWEI
CWH,"Camping World Holdings, Inc.","Camping World Holdings, Inc. (CWH)"
CWST,"Casella Waste Systems, Inc.","Casella Waste Systems, Inc. (CWST)"
CWT,California Water  Service Group Holding,California Water  Service Group Holding (CWT)
CXO,Concho Resources Inc.,Concho Resources Inc. (CXO)
CXW,"CoreCivic, Inc.","CoreCivic, Inc. (CXW)"
CY,Cypress Semiconductor Corporation,Cypress Semiconductor Corporation (CY)
CYBX,,CYBX
CYH,"Community Health Systems, Inc.","Community Health Systems, Inc. (CYH)"
CYN,,CYN
CYNI,,CYNI
CYNO,,CYNO
CYS,,CYS
CYT,,CYT
CYTK,"Cytokinetics, Incorporated","Cytokinetics, Incorporated (CYTK)"
CYTR,CytRx Corporation,CytRx Corporation (CYTR)
CYTX,Cytori Therapeutics Inc.,Cytori Therapeutics Inc. (CYTX)
CZNC,Citizens & Northern Corp,Citizens & Northern Corp (CZNC)
CZR,Caesars Entertainment Corporation,Caesars Entertainment Corporation (CZR)
D,"Dominion Energy, Inc.","Dominion Energy, Inc. (D)"
DAKT,"Daktronics, Inc.","Daktronics, Inc. (DAKT)"
DAL,"Delta Air Lines, Inc.","Delta Air Lines, Inc. (DAL)"
DAN,Dana Incorporated,Dana Incorporated (DAN)
DAR,Darling Ingredients Inc.,Darling Ingredients Inc. (DAR)
DATA,"Tableau Software, Inc.","Tableau Software, Inc. (DATA)"
DAVE,"Famous Dave's of America, Inc.","Famous Dave's of America, Inc. (DAVE)"
DBD,Diebold Nixdorf Incorporated,Diebold Nixdorf Incorporated (DBD)
DCI,"Donaldson Company, Inc.","Donaldson Company, Inc. (DCI)"
DCO,Ducommun Incorporated,Ducommun Incorporated (DCO)
DCOM,"Dime Community Bancshares, Inc.","Dime Community Bancshares, Inc. (DCOM)"
DCT,,DCT
DD,,DD
DDD,3D Systems Corporation,3D Systems Corporation (DDD)
DDR,,DDR
DDS,"Dillard's, Inc.","Dillard's, Inc. (DDS)"
DE,Deere & Company,Deere & Company (DE)
DECK,Deckers Outdoor Corporation,Deckers Outdoor Corporation (DECK)
DEI,"Douglas Emmett, Inc.","Douglas Emmett, Inc. (DEI)"
DEL,,DEL
DELL,,DELL
DENN,,DENN
DEPO,,DEPO
DEST,Destination Maternity Corporation,Destination Maternity Corporation (DEST)
DF,Dean Foods Company,Dean Foods Company (DF)
DFRG,"Del Frisco's Restaurant Group, Inc.","Del Frisco's Restaurant Group, Inc. (DFRG)"
DFS,Discover Financial Services,Discover Financial Services (DFS)
DFT,,DFT
DFZ,,DFZ
DG,Dollar General Corporation,Dollar General Corporation (DG)
DGAS,,DGAS
DGI,,DGI
DGICA,"Donegal Group, Inc.","Donegal Group, Inc. (DGICA)"
DGII,Digi International Inc.,Digi International Inc. (DGII)
DGX,Quest Diagnostics Incorporated,Quest Diagnostics Incorporated (DGX)
DHI,"D.R. Horton, Inc.","D.R. Horton, Inc. (DHI)"
DHIL,"Diamond Hill Investment Group, Inc.","Diamond Hill Investment Group, Inc. (DHIL)"
DHR,Danaher Corporation,Danaher Corporation (DHR)
DHT,"DHT Holdings, Inc.","DHT Holdings, Inc. (DHT)"
DHX,"DHI Group, Inc.","DHI Group, Inc. (DHX)"
DIN,"Dine Brands Global, Inc.","Dine Brands Global, Inc. (DIN)"
DIOD,Diodes Incorporated,Diodes Incorporated (DIOD)
DIS,Walt Disney Company (The),Walt Disney Company (The) (DIS)
DISCA,"Discovery, Inc.","Discovery, Inc. (DISCA)"
DISCK,"Discovery, Inc.","Discovery, Inc. (DISCK)"
DISH,DISH Network Corporation,DISH Network Corporation (DISH)
DJCO,Daily Journal Corp. (S.C.),Daily Journal Corp. (S.C.) (DJCO)
DK,"Delek US Holdings, Inc.","Delek US Holdings, Inc. (DK)"
DKS,,DKS
DLB,Dolby Laboratories,Dolby Laboratories (DLB)
DLLR,,DLLR
DLPH,Delphi Technologies PLC,Delphi Technologies PLC (DLPH)
DLR,"Digital Realty Trust, Inc.","Digital Realty Trust, Inc. (DLR)"
DLTR,"Dollar Tree, Inc.","Dollar Tree, Inc. (DLTR)"
DLX,Deluxe Corporation,Deluxe Corporation (DLX)
DMD,,DMD
DMND,,DMND
DMRC,Digimarc Corporation,Digimarc Corporation (DMRC)
DNB,Dun & Bradstreet Corporation (The),Dun & Bradstreet Corporation (The) (DNB)
DNDN,,DNDN
DNKN,"Dunkin&#39; Brands Group, Inc.","Dunkin&#39; Brands Group, Inc. (DNKN)"
DNR,Denbury Resources Inc.,Denbury Resources Inc. (DNR)
DO,"Diamond Offshore Drilling, Inc.","Diamond Offshore Drilling, Inc. (DO)"
DOC,Physicians Realty Trust,Physicians Realty Trust (DOC)
DOOR,Masonite International Corporation,Masonite International Corporation (DOOR)
DORM,"Dorman Products, Inc.","Dorman Products, Inc. (DORM)"
DOV,Dover Corporation,Dover Corporation (DOV)
DOW,,DOW
DOX,Amdocs Limited,Amdocs Limited (DOX)
DPS,,DPS
DPZ,,DPZ
DRC,,DRC
DRE,Duke Realty Corporation,Duke Realty Corporation (DRE)
DRH,Diamondrock Hospitality Company,Diamondrock Hospitality Company (DRH)
DRI,"Darden Restaurants, Inc.","Darden Restaurants, Inc. (DRI)"
DRII,,DRII
DRIV,Global X Autonomous & Electric Vehicles ETF,Global X Autonomous & Electric Vehicles ETF (DRIV)
DRL,,DRL
DRNA,"Dicerna Pharmaceuticals, Inc.","Dicerna Pharmaceuticals, Inc. (DRNA)"
DRQ,"Dril-Quip, Inc.","Dril-Quip, Inc. (DRQ)"
DRTX,,DRTX
DSCI,,DSCI
DSPG,"DSP Group, Inc.","DSP Group, Inc. (DSPG)"
DST,,DST
DSW,DSW Inc.,DSW Inc. (DSW)
DTE,DTE Energy Company,DTE Energy Company (DTE)
DTLK,,DTLK
DTSI,,DTSI
DTV,DTE Energy Company,DTE Energy Company (DTV)
DUK,Duke Energy Corporation,Duke Energy Corporation (DUK)
DV,,DV
DVA,DaVita Inc.,DaVita Inc. (DVA)
DVAX,Dynavax Technologies Corporation,Dynavax Technologies Corporation (DVAX)
DVN,Devon Energy Corporation,Devon Energy Corporation (DVN)
DVR,,DVR
DW,,DW
DWA,,DWA
DWDP,DowDuPont Inc.,DowDuPont Inc. (DWDP)
DWRE,,DWRE
DWSN,Dawson Geophysical Company,Dawson Geophysical Company (DWSN)
DX,"Dynex Capital, Inc.","Dynex Capital, Inc. (DX)"
DXC,DXC Technology Company,DXC Technology Company (DXC)
DXCM,"DexCom, Inc.","DexCom, Inc. (DXCM)"
DXLG,"Destination XL Group, Inc.","Destination XL Group, Inc. (DXLG)"
DXM,,DXM
DXPE,"DXP Enterprises, Inc.","DXP Enterprises, Inc. (DXPE)"
DXYN,"The Dixie Group, Inc.","The Dixie Group, Inc. (DXYN)"
DY,"Dycom Industries, Inc.","Dycom Industries, Inc. (DY)"
DYAX,,DYAX
DYN,,DYN
EA,Electronic Arts Inc.,Electronic Arts Inc. (EA)
EAC,,EAC
EAT,"Brinker International, Inc.","Brinker International, Inc. (EAT)"
EBAY,eBay Inc.,eBay Inc. (EBAY)
EBF,"Ennis, Inc.","Ennis, Inc. (EBF)"
EBIO,,EBIO
EBIX,"Ebix, Inc.","Ebix, Inc. (EBIX)"
EBS,"Emergent Biosolutions, Inc.","Emergent Biosolutions, Inc. (EBS)"
EBSB,"Meridian Bancorp, Inc.","Meridian Bancorp, Inc. (EBSB)"
EBTC,Enterprise Bancorp Inc,Enterprise Bancorp Inc (EBTC)
ECHO,"Echo Global Logistics, Inc.","Echo Global Logistics, Inc. (ECHO)"
ECL,Ecolab Inc.,Ecolab Inc. (ECL)
ECOL,"US Ecology, Inc.","US Ecology, Inc. (ECOL)"
ECOM,,ECOM
ECPG,Encore Capital Group Inc,Encore Capital Group Inc (ECPG)
ECYT,"Endocyte, Inc.","Endocyte, Inc. (ECYT)"
ED,Consolidated Edison Inc,Consolidated Edison Inc (ED)
EDE,,EDE
EDIG,,EDIG
EDMC,,EDMC
EDR,,EDR
EE,El Paso Electric Company,El Paso Electric Company (EE)
EEFT,"Euronet Worldwide, Inc.","Euronet Worldwide, Inc. (EEFT)"
EFII,"Electronics for Imaging, Inc.","Electronics for Imaging, Inc. (EFII)"
EFSC,Enterprise Financial Services Corporation,Enterprise Financial Services Corporation (EFSC)
EFX,"Equifax, Inc.","Equifax, Inc. (EFX)"
EGAN,eGain Corporation,eGain Corporation (EGAN)
EGBN,"Eagle Bancorp, Inc.","Eagle Bancorp, Inc. (EGBN)"
EGHT,8x8 Inc,8x8 Inc (EGHT)
EGL,"Engility Holdings, Inc.","Engility Holdings, Inc. (EGL)"
EGLT,,EGLT
EGN,Energen Corporation,Energen Corporation (EGN)
EGOV,NIC Inc.,NIC Inc. (EGOV)
EGP,"EastGroup Properties, Inc.","EastGroup Properties, Inc. (EGP)"
EGY,"VAALCO Energy, Inc. ","VAALCO Energy, Inc.  (EGY)"
EHTH,"eHealth, Inc.","eHealth, Inc. (EHTH)"
EIG,Employers Holdings Inc,Employers Holdings Inc (EIG)
EIGI,"Endurance International Group Holdings, Inc.","Endurance International Group Holdings, Inc. (EIGI)"
EIX,Edison International,Edison International (EIX)
EL,"Estee Lauder Companies, Inc. (The)","Estee Lauder Companies, Inc. (The) (EL)"
ELGX,"Endologix, Inc.","Endologix, Inc. (ELGX)"
ELLI,"Ellie Mae, Inc.","Ellie Mae, Inc. (ELLI)"
ELNK,,ELNK
ELRC,,ELRC
ELS,"Equity Lifestyle Properties, Inc.","Equity Lifestyle Properties, Inc. (ELS)"
ELX,,ELX
ELY,Callaway Golf Company,Callaway Golf Company (ELY)
EMC,,EMC
EMCI,EMC Insurance Group Inc.,EMC Insurance Group Inc. (EMCI)
EME,"EMCOR Group, Inc.","EMCOR Group, Inc. (EME)"
EMN,Eastman Chemical Company,Eastman Chemical Company (EMN)
EMR,Emerson Electric Company,Emerson Electric Company (EMR)
END,,END
ENDP,Endo International plc,Endo International plc (ENDP)
ENH,,ENH
ENOC,,ENOC
ENPH,"Enphase Energy, Inc.","Enphase Energy, Inc. (ENPH)"
ENR,"Energizer Holdings, Inc.","Energizer Holdings, Inc. (ENR)"
ENS,Enersys,Enersys (ENS)
ENSG,"The Ensign Group, Inc.","The Ensign Group, Inc. (ENSG)"
ENT,Global Eagle Entertainment Inc.,Global Eagle Entertainment Inc. (ENT)
ENTA,"Enanta Pharmaceuticals, Inc.","Enanta Pharmaceuticals, Inc. (ENTA)"
ENTG,"Entegris, Inc.","Entegris, Inc. (ENTG)"
ENTR,,ENTR
